latitude,longitude,ghi,dni,dhi,gti,temperature_c,humidity_pct,cloud_cover_pct,pressure_hpa,wind_speed_m_s,elevation_m,solar_generation_mw
27.24037,87.73144,635.36,591.95,63.31,726.95,29.17,63.45,12.13,921.89,2.1,797.12,2.7992
15.2354,77.6776,443.8,322.68,80.86,487.61,31.28,58.37,21.26,983.63,2.38,233.17,1.8337
12.08162,85.75789,473.43,504.47,64.63,491.14,18.17,70.14,19.48,977.01,1.77,299.58,2.0214
22.61991,68.34047,307.07,229.86,80.63,292.47,18.34,77.67,17.81,942.16,1.72,571.35,1.2205
25.65594,83.63016,405.5,390.69,88.03,289.42,30.36,51.34,19.83,948.23,5.28,559.52,1.1004
8.51008,76.8125,201.0,206.11,59.8,182.35,34.34,44.95,33.1,922.1,3.42,778.85,0.6918
18.86125,78.3659,402.89,276.52,94.9,465.87,34.48,54.85,22.34,997.09,1.69,132.86,1.7982
21.7389,81.01459,787.09,552.76,188.2,906.98,17.44,69.17,29.08,821.75,2.8,1798.33,3.6095
18.47234,78.65639,465.07,375.85,139.25,409.5,35.42,61.38,24.39,953.73,2.44,514.43,1.5637
8.38245,79.53003,365.49,256.97,111.78,365.61,9.03,50.61,36.96,823.83,1.6,1746.62,1.5793
16.90322,74.75586,731.61,681.02,73.73,776.34,19.0,69.58,9.98,826.73,3.78,1735.52,3.1167
24.66374,76.50527,710.75,652.21,79.1,906.79,19.6,77.01,3.12,937.55,3.0,618.43,3.6216
16.69374,77.1668,577.05,447.15,100.11,619.98,21.55,60.29,30.17,869.49,1.99,1255.76,2.4668
11.31836,80.65531,295.11,201.21,46.7,302.78,23.58,74.58,13.62,953.04,1.35,455.28,1.0582
16.58884,80.7351,376.17,276.22,124.76,393.09,19.06,65.05,30.06,837.2,2.94,1548.06,1.5617
8.39041,87.21245,926.8,779.35,215.29,939.9,23.97,55.18,29.33,916.63,0.78,909.84,3.7732
10.13452,81.94526,484.65,354.22,96.38,494.26,16.26,57.13,26.84,823.8,2.2,1774.5,2.0317
26.60955,87.30527,541.47,429.03,91.44,537.99,22.61,69.06,27.43,914.93,3.34,922.27,2.1048
19.91184,75.03416,381.84,193.41,123.93,338.1,22.0,94.22,57.89,962.85,2.6,429.61,1.2795
18.82672,68.245,645.44,499.62,153.64,641.13,21.55,87.0,18.82,845.82,3.69,1466.01,2.5017
25.50895,75.59311,615.8,517.92,117.67,609.73,21.76,66.5,17.33,983.96,3.83,266.4,2.4375
27.73165,71.62849,134.26,126.55,38.85,136.19,28.28,78.99,22.02,940.55,2.98,616.76,0.5094
20.13725,72.91821,45.48,0.0,8.7,48.11,20.61,63.58,22.6,941.23,2.4,556.33,0.2059
21.15708,86.62216,594.57,364.47,209.96,654.34,18.88,76.54,37.0,885.82,3.84,1146.94,2.6579
27.06361,73.96042,224.05,159.25,48.39,212.63,23.17,83.75,24.82,823.64,2.62,1713.77,0.798
26.66011,70.07668,874.77,644.61,249.94,905.6,28.87,62.66,41.2,879.59,2.31,1159.14,3.5291
13.10957,73.5976,733.38,582.38,179.04,748.09,34.42,65.41,24.86,993.45,4.14,156.43,2.8804
24.74572,74.94092,778.8,614.11,186.75,811.99,30.35,69.36,14.84,984.36,4.49,237.98,3.1112
21.01197,75.27801,950.11,715.4,225.9,1084.66,23.33,70.59,23.78,968.26,2.94,412.7,4.309
20.2398,84.59087,310.11,251.16,92.19,327.89,35.58,60.3,41.17,1004.95,2.54,79.98,1.2228
22.78402,85.722,619.14,488.08,127.19,672.62,23.42,64.36,29.26,981.35,3.24,275.97,2.7255
21.92243,71.11301,331.5,231.09,95.76,265.47,26.47,67.07,17.5,987.18,3.37,239.29,1.1019
24.38328,69.25508,599.32,479.15,109.37,540.64,30.34,55.27,20.82,1004.1,2.16,76.13,2.1257
25.28297,83.35618,421.75,392.59,40.96,438.82,34.01,71.15,13.95,999.87,3.42,102.36,1.6764
24.68223,78.83995,266.83,183.14,69.95,250.77,28.55,47.57,30.15,900.73,2.75,946.92,1.0088
22.88857,72.39023,357.3,249.47,107.67,376.21,26.77,58.17,28.42,906.77,2.17,977.56,1.4664
25.40336,81.74385,627.84,395.46,198.56,620.37,17.94,65.91,58.95,837.55,3.04,1626.93,2.5685
20.32313,82.35673,575.37,366.6,176.96,519.23,24.34,78.69,56.72,835.6,0.77,1595.7,2.0515
23.64323,76.00023,530.82,402.62,117.48,557.16,17.34,64.34,14.28,852.03,1.86,1471.88,2.299
15.38705,68.52798,397.17,347.35,60.51,421.47,30.48,60.5,20.12,898.36,0.72,1020.84,1.6502
25.72103,72.86691,623.25,359.33,299.98,649.63,22.21,69.32,66.91,836.94,2.91,1553.43,2.5094
26.84749,70.30755,521.55,403.95,69.34,556.76,26.86,64.35,15.98,946.43,3.89,593.22,2.2031
9.56219,73.47108,295.89,254.27,56.36,327.9,38.76,43.75,8.19,944.56,2.5,564.48,1.2665
20.16714,70.19924,334.45,200.45,158.08,361.6,25.58,77.08,74.38,899.76,2.13,1037.72,1.4031
17.42431,74.95168,593.88,376.17,172.97,688.05,27.09,59.94,56.58,926.25,3.75,735.46,2.661
22.07646,84.46473,478.82,410.43,94.76,518.84,23.94,72.05,20.82,972.95,2.73,279.87,1.9928
27.97327,74.4631,364.68,322.51,83.74,395.81,29.66,85.54,15.76,858.99,1.48,1361.52,1.4839
15.49128,70.60436,383.39,383.85,53.35,425.15,26.65,69.26,11.17,934.03,2.92,661.34,1.7133
23.43343,85.06233,535.96,442.85,74.53,491.46,18.62,80.38,4.68,886.97,2.3,1130.44,1.9279
18.43521,84.27066,976.79,750.46,213.15,1100.0,27.97,62.27,13.05,851.98,1.46,1506.9,4.3728
25.47307,83.54932,311.68,118.86,130.81,276.7,26.73,71.04,41.37,929.76,2.39,679.65,1.0995
15.1901,75.04088,211.98,153.86,51.88,203.02,27.94,65.58,24.5,958.24,4.99,438.98,0.7842
10.69542,78.20252,698.47,447.45,243.61,801.06,20.49,67.54,54.01,916.17,1.31,878.65,3.1179
13.12794,74.21436,480.57,383.41,84.64,449.06,28.08,42.7,6.24,1002.27,2.46,117.68,1.8381
13.03385,76.29638,241.39,120.07,60.12,231.05,26.39,73.07,27.97,998.8,3.29,132.08,0.8963
21.34193,71.34336,199.27,134.48,87.42,187.91,22.62,72.83,55.73,846.84,1.72,1497.27,0.6931
27.2997,69.18002,385.71,372.68,53.84,408.66,24.6,67.06,14.54,936.92,3.32,597.33,1.6846
19.85557,82.05704,457.65,247.27,166.4,441.46,30.98,59.55,29.1,937.79,1.34,691.68,1.7017
