latitude,longitude,wind_speed_m_s,air_density_kg_m3,temperature_c,humidity_pct,pressure_hpa,elevation_m,wind_generation_mw
21.77994,70.16537,6.36,1.1002,27.78,57.1,950.41,505.57,0.377
27.48164,79.85891,6.48,1.1082,22.7,85.33,941.12,608.22,0.3891
12.14833,76.61827,1.7,0.9849,9.81,66.52,800.0,1999.84,0.018
26.10244,73.85078,4.0,1.1288,29.22,57.43,979.74,217.08,0.0753
14.08134,85.29431,3.7,1.0063,15.61,67.76,834.08,1609.46,0.0463
11.11437,86.7199,5.72,1.1698,26.96,69.13,1007.74,58.83,0.3004
14.57454,81.55478,4.84,0.9958,12.66,76.95,816.98,1834.49,0.1169
25.468,75.18963,5.44,1.0744,27.15,48.3,926.19,727.19,0.2264
24.27015,68.18799,3.21,1.0762,23.09,70.84,915.14,859.3,0.0
11.73046,78.68548,5.64,1.005,16.3,80.33,835.03,1674.27,0.2334
27.44034,73.4898,2.32,1.0224,18.68,74.64,856.48,1422.94,0.0006
14.67078,79.96446,1.56,1.0274,17.33,86.49,856.64,1445.73,0.0
24.26452,84.44795,4.2,0.9667,26.8,66.29,832.35,1641.14,0.0553
19.83351,77.23963,2.46,1.0982,27.0,67.18,946.14,586.25,0.0
10.91802,83.50155,3.59,1.1519,21.21,70.94,973.33,293.35,0.0054
9.9764,85.91212,4.55,1.1594,22.86,54.83,985.14,260.93,0.1463
23.32205,79.61773,3.56,1.0191,13.95,67.84,839.83,1603.41,0.0374
24.22697,78.60587,5.31,1.0129,23.42,60.43,862.31,1419.56,0.1908
27.70237,76.14959,5.41,1.0807,18.54,68.74,904.83,910.56,0.2245
11.00878,85.32116,4.33,1.0987,24.02,88.08,937.22,647.61,0.1459
14.59631,70.01305,3.74,1.0338,23.38,66.82,879.96,1195.84,0.0724
11.00796,80.52637,1.49,1.0631,12.29,90.25,871.07,1298.12,0.0222
22.38954,70.66901,5.42,1.0303,15.81,82.73,854.61,1409.92,0.1897
22.47027,74.19636,1.19,1.1743,18.55,92.85,983.26,209.62,0.0035
13.01623,84.21115,6.59,1.1355,25.46,60.0,973.28,274.38,0.441
10.02477,75.39355,3.5,1.1458,21.7,52.92,969.79,417.38,0.0557
10.03813,85.54575,5.25,1.0011,18.05,55.5,836.82,1578.77,0.2028
10.8571,68.80252,1.85,1.1756,23.61,50.94,1001.44,86.84,0.0
19.66544,75.59617,4.6,1.0968,15.3,68.14,908.1,886.69,0.0907
22.46322,81.39744,1.44,0.9792,18.18,57.32,818.85,1823.44,0.0096
19.73818,80.77458,5.3,1.1176,22.86,67.3,949.59,589.31,0.1933
23.60379,71.0645,3.47,1.0707,18.55,72.7,896.56,950.47,0.0479
26.96717,69.19455,4.64,1.0294,17.92,54.46,860.06,1383.53,0.1359
10.59551,86.78344,2.87,1.1535,25.76,73.14,989.73,250.91,0.0091
20.04909,71.67146,5.57,1.0329,14.0,73.99,851.43,1416.09,0.236
17.35692,83.09658,4.23,1.102,21.09,54.06,930.73,775.05,0.0176
16.046,84.72892,4.61,1.0783,22.13,83.62,914.01,867.67,0.1641
18.50856,75.27312,2.5,1.1708,21.07,72.81,988.84,237.42,0.0
23.55431,77.34005,1.62,0.978,20.65,66.28,824.81,1738.45,0.0
16.11288,78.55321,6.79,1.0448,28.97,59.61,906.12,945.9,0.4384
13.85358,72.16013,5.5,1.1618,27.75,64.58,1003.46,51.7,0.2709
16.23923,77.5258,2.25,1.1101,23.64,40.42,945.74,596.8,0.0037
19.28063,82.04877,3.31,1.0804,33.96,59.21,952.48,525.63,0.0361
11.38546,80.98012,6.66,1.1427,29.68,49.76,993.32,127.1,0.4295
22.07792,75.17693,1.62,1.1574,21.4,59.49,978.54,347.08,0.0
22.37125,86.86653,4.11,1.1067,22.51,63.91,939.26,651.86,0.0486
9.77799,79.6071,3.14,1.0841,29.1,53.6,940.56,630.5,0.0316
14.51054,70.98758,3.8,1.0968,23.78,74.19,934.82,603.75,0.0227
24.07755,68.33529,10.76,1.021,23.57,72.41,869.58,1305.85,1.9355
11.14214,79.72874,4.71,1.1413,23.19,75.07,970.83,359.34,0.1517
25.21423,77.70193,4.58,1.1477,22.94,68.07,975.46,326.87,0.1178
24.61138,73.77769,7.06,1.0119,18.69,81.54,847.66,1548.79,0.529
